nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud,categoria_negocio
Trinity Roofing-Home Imprvmts,"23888 Edgefield Road, Albemarle",28001,1.0,1.0,"roofing_contractor, point_of_interest, establishment",35.3086014,-80.2148208,Otros / No categorizado
True Homes Morgan Hills,"1023 Freeman View Drive, Albemarle",28001,4.5,10.0,"general_contractor, point_of_interest, establishment",35.334517,-80.20529719999999,Construcción / Reformas
New Hope Church,"36689 Truss Lane, Albemarle",28001,5.0,1.0,"church, place_of_worship, point_of_interest, establishment",35.3327183,-80.200125,Religión / Culto
Albemarle First Assembly,"1501 North Carolina 24, Albemarle",28001,5.0,50.0,"church, place_of_worship, point_of_interest, establishment",35.33372399999999,-80.2219155,Religión / Culto
Highway Division Bridge Maintenance,"915 Coble Avenue, Albemarle",28001,,,"general_contractor, local_government_office, point_of_interest, establishment",35.3369044,-80.2141273,Administración / Localidad
Mabry’s Handyman Service,"611 Reeves Avenue, Albemarle",28001,5.0,1.0,"general_contractor, point_of_interest, establishment",35.3359373,-80.2044615,Construcción / Reformas
D & M Packing Co,"687 Morgan Road, Albemarle",28001,4.6,34.0,"food, point_of_interest, establishment",35.33674009999999,-80.21051279999999,Restauración
Creekridge Apartments,"100 Creekridge Circle Apt 1-B, Albemarle",28001,2.2,5.0,"point_of_interest, establishment",35.3355449,-80.21783889999999,Otros / No categorizado
Xtreme Team Stables,"Aquadale Road, Albemarle",28001,,,"travel_agency, point_of_interest, establishment",35.3352117,-80.2008981,Otros / No categorizado
In person sessions are located at,"1501 North Carolina 24, Albemarle",28001,,,"health, point_of_interest, establishment",35.3344299,-80.2224763,Salud
Crisco's Automotive,"409 Commerce Street, Albemarle",28001,4.2,5.0,"car_repair, point_of_interest, establishment",35.33764499999999,-80.2159673,Comercio / Servicios
South Side vfd,"20790 North Carolina 138, Albemarle",28001,3.0,2.0,"fire_station, point_of_interest, establishment",35.309368,-80.195398,Otros / No categorizado
International Holiness and Pentecostal Alliance,"406 Commerce Street, Albemarle",28001,,,"point_of_interest, establishment",35.3373614,-80.2163475,Otros / No categorizado
Hatley's Mini Storage,"1506 North Carolina 24, Albemarle",28001,4.4,14.0,"storage, point_of_interest, establishment",35.33529740000001,-80.22266909999999,Otros / No categorizado
Stanly County Habitat For Humanity,"1506 North Carolina 24, Albemarle",28001,3.8,179.0,"point_of_interest, establishment",35.3349152,-80.2235202,Otros / No categorizado
"Golden Key Real Estate & Interior Design, LLC","407B Commerce Street, Albemarle",28001,,,"real_estate_agency, point_of_interest, establishment",35.3378876,-80.2161623,Comercio / Servicios
"Primary Health Choice & A Primary Choice, Inc.","407B Commerce Street, Albemarle",28001,,,"health, point_of_interest, establishment",35.3378876,-80.2161623,Salud
Vine Life Church,"24655 Saint Martin Road, Albemarle",28001,4.3,4.0,"church, place_of_worship, point_of_interest, establishment",35.330359,-80.22799169999999,Religión / Culto
"Martin""s clean air encapsulation systems","34004b Mabry Road, Albemarle",28001,5.0,7.0,"point_of_interest, establishment",35.3084652,-80.2240492,Otros / No categorizado
Carolina Treetop Challenge,"114 Rock Creek Park Drive, Albemarle",28001,4.9,145.0,"point_of_interest, establishment",35.3306341,-80.1917842,Otros / No categorizado
Phase One Barber Shop,"405 Commerce Street, Albemarle",28001,4.6,51.0,"hair_care, health, point_of_interest, establishment",35.3382274,-80.21645889999999,Comercio / Servicios
Equipment Shop,"902 Coble Avenue, Albemarle",28001,,,"local_government_office, point_of_interest, establishment",35.338696,-80.2142953,Administración / Localidad
NC Farm Bureau Insurance,"1211 North Carolina 24 W, Albemarle",28001,4.5,77.0,"insurance_agency, point_of_interest, establishment",35.33861649999999,-80.2158022,Finanzas y Seguros
Madrid,Madrid,28002,,,"locality, political",40.41672790000001,-3.7032905,Administración / Localidad
Sercotel Togumar,"Calle de Canillas, 59, Madrid",28002,4.2,1552.0,"lodging, point_of_interest, establishment",40.4438931,-3.6727188,Alojamiento
Hotel ILUNION Suites Madrid,"Calle de López de Hoyos, 143, Madrid",28002,4.3,3293.0,"lodging, point_of_interest, establishment",40.4478205,-3.6690155,Alojamiento
Abba Madrid Hotel,"Avenida de América, 32, Madrid",28002,4.4,2613.0,"lodging, point_of_interest, establishment",40.438834,-3.672723,Alojamiento
AC Hotel Avenida de America,"Calle de Cartagena, 83-85, Madrid",28002,4.3,1894.0,"lodging, point_of_interest, establishment",40.4380379,-3.6726858,Alojamiento
Hotel uVe Marcenado,"Calle de Marcenado, 9, Madrid",28002,4.6,576.0,"lodging, point_of_interest, establishment",40.445646,-3.6729009,Alojamiento
STYLISH CITY APARTMENTS MADRID,"37, Calle de Luis Cabrera, 5A, Madrid",28002,2.8,176.0,"lodging, point_of_interest, establishment",40.443226,-3.6745053,Alojamiento
Hotel Puerta America Madrid,"Avenida de América, 41, Madrid",28002,4.3,6191.0,"lodging, restaurant, food, point_of_interest, establishment",40.4406864,-3.6701104,Restauración
Restaurante Rías Bajas,"Calle Alustante, 11, Calle de Clara del Rey, 33, Posterior, Madrid",28002,4.5,2469.0,"restaurant, food, point_of_interest, establishment",40.4425801,-3.6711912,Restauración
Quirónsalud San José Hospital,"Calle de Cartagena, 111, Madrid",28002,3.0,1749.0,"hospital, health, point_of_interest, establishment",40.4403502,-3.6743248,Salud
Restaurante - Cervecería Fass Concha Espina,"Calle de Rodríguez Marín, 84, Madrid",28002,4.0,2527.0,"restaurant, food, point_of_interest, establishment",40.45146539999999,-3.678578,Restauración
Tiffany's The Club,"Avenida del Doctor Arce, 10, Madrid",28002,3.0,1781.0,"night_club, point_of_interest, establishment",40.4455806,-3.6833062,Otros / No categorizado
Órale Un Pedacito,"Calle de Pradillo, 30, Madrid",28002,4.5,2786.0,"bar, restaurant, food, point_of_interest, establishment",40.4487482,-3.672656000000001,Restauración
Enforex Camps,"Calle de Gustavo Fernández Balbuena, 11, 2º planta, Madrid",28002,4.5,202.0,"point_of_interest, establishment",40.4496534,-3.6678951,Otros / No categorizado
Taste of America,"Calle de Serrano, 149, Madrid",28002,4.0,230.0,"convenience_store, supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment",40.446557,-3.684855100000001,Restauración
BBVA,"Calle del Príncipe de Vergara, 203, Madrid",28002,1.7,23.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.4491957,-3.6781503,Comercio / Servicios
A&H Suites Internacional Madrid,"Calle de Luis Cabrera, 37, Madrid",28002,2.9,11.0,"lodging, point_of_interest, establishment",40.4431619,-3.6744491,Alojamiento
Holiday Gym,"Calle de López de Hoyos, 71, Madrid",28002,3.3,413.0,"gym, health, point_of_interest, establishment",40.4433506,-3.6756132,Comercio / Servicios
Santuario de Santa Gema,"Calle de Leizarán, 24, Madrid",28002,4.7,2893.0,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",40.4477912,-3.6815307,Religión / Culto
Chamartín,Chamartín,28002,,,"sublocality_level_1, sublocality, political",40.4615174,-3.6865844,Administración / Localidad
Magnetron,"Calle del Cardenal Silíceo, 22, Madrid",28002,4.5,84.0,"home_goods_store, electronics_store, store, point_of_interest, establishment",40.44429909999999,-3.6704733,Comercio / Servicios
Mutualidad,"Calle de Francisco Silvela, 106, Madrid",28002,2.9,513.0,"insurance_agency, point_of_interest, establishment",40.4389851,-3.6785267,Finanzas y Seguros
Uría Menéndez,"Calle del Príncipe de Vergara, 187, Madrid",28002,4.3,148.0,"lawyer, point_of_interest, establishment",40.4474059,-3.6783268,Otros / No categorizado
Clínica Gorja,"Calle de Pradillo, 13, Madrid",28002,4.5,8.0,"dentist, health, point_of_interest, establishment",40.448725,-3.6749302,Salud
Acalaca Selección,"Calle de Luis de Salazar, 6, Madrid",28002,4.1,122.0,"point_of_interest, establishment",40.4472475,-3.6670302,Otros / No categorizado
RESTAURANTE LOBBO,"Calle Gabriel Lobo, 11, Madrid",28002,4.1,1513.0,"restaurant, point_of_interest, food, establishment",40.44301550000001,-3.680793300000001,Restauración
BBVA,"Calle de López de Hoyos, 138, Madrid",28002,2.6,127.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.44489629999999,-3.6725838,Comercio / Servicios
Gyata - Concesionario KM 0 multimarca y Servicio Premium Ford,"Calle de Sánchez Pacheco, 48, Madrid",28002,4.4,680.0,"car_dealer, store, point_of_interest, establishment",40.447113,-3.674107,Comercio / Servicios
Nautalia viajes,"Calle de López de Hoyos, 92, Madrid",28002,4.1,27.0,"travel_agency, lodging, point_of_interest, establishment",40.44286959999999,-3.675622699999999,Alojamiento
Chindasvinto,"Calle de Clara del Rey, 59, Madrid",28002,4.4,338.0,"clothing_store, store, point_of_interest, establishment",40.44548760000001,-3.6683917,Comercio / Servicios
[P] Parking Clara del Rey,"Calle de Clara del Rey, 32, 34, Madrid",28002,4.2,177.0,"parking, point_of_interest, establishment",40.4433569,-3.668608900000001,Naturaleza / Recreación
Delta Dent Dental Clinic Madrid,"Avenida de Ramón y Cajal, 5, Madrid",28002,4.7,110.0,"health, point_of_interest, establishment",40.4519149,-3.6769502,Salud
PCBox,"Calle de Cartagena, 115, Madrid",28002,4.3,344.0,"electronics_store, store, point_of_interest, establishment",40.4410035,-3.6748368,Comercio / Servicios
BBVA,"Calle del Príncipe de Vergara, 267, Madrid",28002,2.8,86.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.4545003,-3.6774842,Comercio / Servicios
Lidl,"Calle de Suero de Quiñones, 1, Madrid",28002,4.0,2088.0,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",40.444099,-3.675233999999999,Restauración
Encuestas Remuneradas,"Calle de San Julio, 5, Madrid",28002,1.0,1.0,"point_of_interest, establishment",40.44202899999999,-3.6805974,Otros / No categorizado
ICEA - Investigación Cooperativa entre Entidades Aseguradoras y Fondos de Pensiones,"Calle de López de Hoyos, 35, 5 planta, Madrid",28002,4.1,54.0,"insurance_agency, point_of_interest, establishment",40.441173,-3.6797154,Finanzas y Seguros
Cash Converters,"Calle del Corazón de María, 70, Madrid",28002,3.5,487.0,"jewelry_store, electronics_store, finance, store, point_of_interest, establishment",40.4466891,-3.6661662,Comercio / Servicios
CIS University,"Calle Velázquez, 140, Madrid",28002,4.7,50.0,"university, point_of_interest, establishment",40.4407975,-3.6824028,Educación
Los Gemelos,"Calle de López de Hoyos, 123, Madrid",28002,4.2,302.0,"point_of_interest, establishment",40.44625449999999,-3.6710913,Otros / No categorizado
Restaurante Casa Benigna,"Calle de Benigno Soto, 9, Madrid",28002,4.7,2076.0,"restaurant, point_of_interest, food, establishment",40.44811299999999,-3.6742458,Restauración
Parish of Our Lady of Guadalupe,"Calle de Puerto Rico, 1, Madrid",28002,4.6,475.0,"church, place_of_worship, point_of_interest, establishment",40.4521342,-3.6750505,Religión / Culto
"Micro Aire, S.L.","Calle de Víctor de la Serna, 5, Madrid",28002,4.4,438.0,"point_of_interest, establishment",40.45267769999999,-3.6734304,Otros / No categorizado
Centro Medico-Quirurgico de Enfermedades Digestivas,"Calle de Oquendo, 23, Madrid",28002,3.0,277.0,"doctor, health, point_of_interest, establishment",40.440675,-3.681910700000001,Comercio / Servicios
Aránzazu,"Calle de Francisco Silvela, 96, Madrid",28002,4.2,1417.0,"bar, restaurant, point_of_interest, food, establishment",40.4386111,-3.6783333,Restauración
Clínica Lladó,"Calle del Príncipe de Vergara, 128, Escalera izquierda, Entreplanta, Puerta Derecha, Madrid",28002,4.8,364.0,"doctor, spa, hair_care, beauty_salon, health, point_of_interest, establishment",40.4427409,-3.6781111,Comercio / Servicios
Auto Maser,"Calle del Cardenal Silíceo, 35, BAJO, Madrid",28002,3.7,135.0,"car_dealer, store, point_of_interest, establishment",40.44269999999999,-3.66922,Comercio / Servicios
Los Torreznos BAR,"Calle de López de Hoyos, 149, Madrid",28002,4.2,3995.0,"restaurant, bar, point_of_interest, food, establishment",40.44799109999999,-3.6687392,Restauración
La Ancha,"Calle del Príncipe de Vergara, 204, Madrid",28002,4.5,2464.0,"restaurant, point_of_interest, food, establishment",40.4493583,-3.6774667,Restauración
Avenida de América Transport Hub,"Avenida de América, 9, Madrid",28002,4.0,9456.0,"shopping_mall, point_of_interest, establishment",40.43837,-3.6760107,Comercio / Servicios
Francisco Ibáñez Public Library,"Calle de Mantuano, 51, Primera Planta, Madrid",28002,3.8,145.0,"library, point_of_interest, establishment",40.4483731,-3.676461800000001,Otros / No categorizado
SIL,"Calle de Clara del Rey, 25, Madrid",28002,4.1,132.0,"electronics_store, store, point_of_interest, establishment",40.4414135,-3.672046800000001,Comercio / Servicios
Body Factory by VivaGym Santa Rita (Clara del Rey),"Calle de Santa Rita, 10, Madrid",28002,4.3,147.0,"gym, health, point_of_interest, establishment",40.445217,-3.6677462,Comercio / Servicios
Solo de Uva,"Calle del Príncipe de Vergara, 210, Madrid",28002,4.2,18.0,"liquor_store, bar, store, restaurant, point_of_interest, food, establishment",40.4518609,-3.676916199999999,Restauración
LIBRERIA EL BUSCÓN,"Calle del Cardenal Silíceo, 8, Madrid",28002,4.7,271.0,"book_store, store, point_of_interest, establishment",40.44525129999999,-3.6714898,Comercio / Servicios
Creyconfe Uniformes laborales en Madrid,"Calle de Serrano, 205, Madrid",28002,4.4,33.0,"clothing_store, store, point_of_interest, establishment",40.45327759999999,-3.6802134,Comercio / Servicios
Be-Up,"Calle de Gustavo Fernández Balbuena, 11, Loft 2A, Madrid",28002,5.0,2.0,"point_of_interest, establishment",40.4497084,-3.667915,Otros / No categorizado
Foster's Hollywood,"Calle de López de Hoyos, 161, 163, Madrid",28002,3.3,194.0,"restaurant, point_of_interest, food, establishment",40.4489781,-3.6668782,Restauración
Cambridge House,"Calle de López de Hoyos, 95, Madrid",28002,4.9,128.0,"point_of_interest, establishment",40.4451306,-3.6728543,Otros / No categorizado
AEG ZANUSSI ELECTROLUX Repuestos y Reparaciones,"Calle Cardenal Siliceo, 7 PROSPERIDAD, CHAMARTIN MADRID PARQUE AVENIDAS BARRIO SALAMANCA GUINDALERA, Calle del Cardenal Silíceo, 7, Madrid",28002,4.2,124.0,"point_of_interest, establishment",40.4451214,-3.6711926,Otros / No categorizado
Madrid,Madrid,28003,,,"locality, political",40.41672790000001,-3.7032905,Administración / Localidad
Hotel NH Madrid Zurbano,"Calle de Zurbano, 79-81, Madrid",28003,4.2,2898.0,"lodging, point_of_interest, establishment",40.439051,-3.692878,Alojamiento
InterContinental Madrid by IHG,"Paseo de la Castellana, 49, Madrid",28003,4.6,4262.0,"lodging, point_of_interest, establishment",40.43632769999999,-3.6902269,Alojamiento
Hyatt Regency Hesperia Madrid,"Paseo de la Castellana, 57, Madrid",28003,4.5,1728.0,"lodging, point_of_interest, establishment",40.4388581,-3.6915108,Alojamiento
Miyama,"Paseo de la Castellana, 45, Madrid",28003,4.6,1203.0,"restaurant, food, point_of_interest, establishment",40.435713,-3.689798799999998,Restauración
NYX Madrid,"Calle del Aviador Zorita, 34, Madrid",28003,4.2,3318.0,"lodging, point_of_interest, establishment",40.45044779999999,-3.6979453,Alojamiento
Hotel NH Collection Madrid Abascal,"Calle de José Abascal, 47, Madrid",28003,4.6,2545.0,"lodging, point_of_interest, establishment",40.438314,-3.695182,Alojamiento
Hotel NH Madrid Chamberí,"Calle de Bretón de los Herreros, 29, Madrid",28003,4.3,814.0,"lodging, point_of_interest, establishment",40.439586,-3.69827,Alojamiento
Sagaretxe,"Calle de Eloy Gonzalo, 26, Madrid",28003,4.0,3839.0,"bar, restaurant, food, point_of_interest, establishment",40.434241,-3.701002,Restauración
Restaurante italiano Nonsolocaffé,"Calle de Ríos Rosas, 52, Madrid",28003,4.3,1706.0,"bar, restaurant, food, point_of_interest, establishment",40.44157149999999,-3.6958103,Restauración
Las Mañanitas,"Calle de Bravo Murillo, 54, Madrid",28003,4.3,1852.0,"restaurant, food, point_of_interest, establishment",40.442998,-3.7037667,Restauración
Hotel Miguel Angel,"Calle de Miguel Ángel, 31, Madrid",28003,4.1,2004.0,"lodging, point_of_interest, establishment",40.4376228,-3.6914117,Alojamiento
Hotel Suites Barrio De Salamanca,"Calle del General Oráa, 17, Madrid",28003,4.4,386.0,"lodging, point_of_interest, establishment",40.4363629,-3.6857229,Alojamiento
Meliá Madrid Serrano,"Calle de Claudio Coello, 139, Madrid",28003,4.4,2743.0,"lodging, point_of_interest, establishment",40.435977,-3.685441,Alojamiento
Taste Me - Restaurante Chamberí con terraza - Carne a la brasa,"Calle de Santa Engracia, 53, Madrid",28003,4.2,989.0,"bar, restaurant, food, point_of_interest, establishment",40.43337409999999,-3.6983286,Restauración
Barceló Emperatriz,"Calle de López de Hoyos, 4, Madrid",28003,4.6,1193.0,"lodging, point_of_interest, establishment",40.43636859999999,-3.688504699999999,Alojamiento
El Pedrusco de Aldealcorvo,"Calle de Juan de Austria, 27, Madrid",28003,4.6,791.0,"restaurant, food, point_of_interest, establishment",40.4339751,-3.700078,Restauración
El Corte Inglés,"Calle de Raimundo Fernández Villaverde, 65, Madrid",28003,4.3,39689.0,"shopping_mall, point_of_interest, establishment",40.4466622,-3.694285799999999,Comercio / Servicios
Ministry of Employment and Social Security,"Paseo de la Castellana, 63, Madrid",28003,3.0,43.0,"local_government_office, point_of_interest, establishment",40.4428141,-3.694543000000001,Administración / Localidad
Chamartín,Chamartín,28003,,,"sublocality_level_1, sublocality, political",40.4615174,-3.6865844,Administración / Localidad
Gimnasio Metropolitan,"Calle de José Abascal, 46, Madrid",28003,4.2,653.0,"gym, beauty_salon, health, point_of_interest, establishment",40.4380081,-3.693802,Comercio / Servicios
Barullo Company,"Calle de Santa Engracia, 131, Madrid",28003,4.0,547.0,"clothing_store, home_goods_store, point_of_interest, store, establishment",40.4422355,-3.7021677,Comercio / Servicios
Hospital Universitario Vithas Madrid La Milagrosa,"Calle de Modesto Lafuente, 14, Madrid",28003,3.9,2264.0,"hospital, doctor, health, point_of_interest, establishment",40.4370011,-3.6956373,Comercio / Servicios
Las Tortillas de Gabino,"Calle de Rafael Calvo, 20, Madrid",28003,4.5,2465.0,"restaurant, food, point_of_interest, establishment",40.4338707,-3.6938244,Restauración
Bar Tula,"Calle de Fernández de la Hoz, 53, Madrid",28003,4.1,515.0,"bar, point_of_interest, establishment",40.43881,-3.6945983,Restauración
Guetaria Asador 2.zero,"Calle del Aviador Zorita, 8, Madrid",28003,4.4,1782.0,"restaurant, food, point_of_interest, establishment",40.4475364,-3.6983613,Restauración
El Quinto Vino,"Calle de Hernani, 48, Madrid",28003,4.1,1408.0,"restaurant, bar, liquor_store, food, point_of_interest, store, establishment",40.44805699999999,-3.699002,Restauración
Instalaciones Deportivas Canal de Isabel II,"Avenida de Filipinas, 54, Madrid",28003,3.9,2027.0,"park, point_of_interest, establishment",40.441189,-3.705117,Naturaleza / Recreación
Restaurante Ferreiro,"Calle del Aviador Zorita, 32, Madrid",28003,4.3,1280.0,"restaurant, food, point_of_interest, establishment",40.4502106,-3.698173299999999,Restauración
Ecocentro,"Calle Esquilache, 4, Madrid",28003,4.2,2367.0,"restaurant, food, point_of_interest, establishment",40.442964,-3.7048922,Restauración
IES Ramiro de Maeztu,"Calle de Serrano, 127, Madrid",28003,,,"secondary_school, school, point_of_interest, establishment",40.4428675,-3.6878113,Educación
Fortuny Home Club,"Calle de Fortuny, 34, Madrid",28003,3.9,4759.0,"restaurant, food, point_of_interest, establishment",40.43445529999999,-3.689987899999999,Restauración
Teatros del Canal,"Calle de Cea Bermúdez, 1, Madrid",28003,4.5,7261.0,"point_of_interest, establishment",40.43827900000001,-3.7051836,Otros / No categorizado
Museo Nacional de Ciencias Naturales,"Calle de José Gutiérrez Abascal, 2, Madrid",28003,4.5,12873.0,"museum, point_of_interest, establishment",40.44123810000001,-3.6901921,Otros / No categorizado
Government Delegation in Madrid,"Calle de Miguel Ángel, 25, Madrid",28003,2.6,181.0,"local_government_office, point_of_interest, establishment",40.4368191,-3.6915518,Administración / Localidad
Fundación Residencia de Estudiantes,"Calle del Pinar, 21-23, Madrid",28003,4.5,1276.0,"point_of_interest, establishment",40.44067619999999,-3.687949699999999,Otros / No categorizado
Madrid Musical Malaga8,"Calle de Málaga, 8, Madrid",28003,4.6,1696.0,"point_of_interest, store, establishment",40.4386949,-3.6933406,Comercio / Servicios
GINECO DIAGNOSTIC,"Calle de José Abascal, 36, Bajo, Madrid",28003,3.2,204.0,"health, point_of_interest, establishment",40.4381041,-3.695546700000001,Salud
BBVA,"Calle de Bravo Murillo, 18, Madrid",28003,2.7,66.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.435623,-3.7040121,Comercio / Servicios
Cambridge University Press,"1º, Calle de José Abascal, 56, Madrid",28003,2.9,14.0,"point_of_interest, establishment",40.43778810000001,-3.6921908,Otros / No categorizado
Public Library José Luis Sampedro,"Calle Felipe el Hermoso, 4, Madrid",28003,3.9,378.0,"library, point_of_interest, establishment",40.4354075,-3.6996299,Otros / No categorizado
Consorcio Regional de Transportes de Madrid,"Plaza del Descubridor Diego de Ordás, 3, Madrid",28003,3.8,1230.0,"point_of_interest, establishment",40.44083989999999,-3.6999694,Otros / No categorizado
Zalacaín Restaurant,"Calle de Álvarez de Baena, 4, Madrid",28003,4.6,956.0,"restaurant, food, point_of_interest, establishment",40.4384851,-3.6887062,Restauración
Comisaría de Policía Nacional Distrito de Chamberí,"Calle de Rafael Calvo, 33, Madrid",28003,,,"police, point_of_interest, establishment",40.43413299999999,-3.6918219,Otros / No categorizado
Hola Caracola,"Calle de Fernández de la Hoz, 40, Madrid",28003,4.7,436.0,"store, point_of_interest, establishment",40.43479139999999,-3.6946581,Comercio / Servicios
Suéltate El Pelo,"Calle de María de Guzmán, 5, Madrid",28003,4.2,1754.0,"bar, point_of_interest, establishment",40.4444152,-3.7032003,Restauración
Bosco,"Calle de Fernández de la Hoz, 78, Madrid",28003,4.6,617.0,"restaurant, bar, food, point_of_interest, establishment",40.4401595,-3.694274199999999,Restauración
Makinostra Harley Davidson Madrid,"Calle del General Álvarez de Castro, 26, Madrid",28003,4.3,578.0,"store, point_of_interest, establishment",40.436302,-3.702243299999999,Comercio / Servicios
CAS Training,"Calle de la Basílica, 19, Planta 5, Madrid",28003,4.3,179.0,"point_of_interest, establishment",40.4490603,-3.6965976,Otros / No categorizado
.,"Calle de Espronceda, 33, Madrid",28003,1.7,3.0,"hospital, doctor, point_of_interest, health, establishment",40.4405868,-3.694902099999999,Comercio / Servicios
La Gran Tasca,"Calle de Santa Engracia, 161, Madrid",28003,4.4,1620.0,"restaurant, food, point_of_interest, establishment",40.4447699,-3.7032291,Restauración
Rafael del Pino Foundation,"Calle de Rafael Calvo, 39, Madrid",28003,4.6,212.0,"point_of_interest, establishment",40.4343151,-3.689215099999999,Otros / No categorizado
Cervecería José Luis (Serrano),"Calle de Serrano, 89, Madrid",28003,4.2,1072.0,"bar, restaurant, food, point_of_interest, establishment",40.4369999,-3.6865438,Restauración
Taberna Gaztelupe,"Calle del Aviador Zorita, 32, Madrid",28003,4.4,1699.0,"restaurant, food, point_of_interest, establishment",40.4501454,-3.6981721,Restauración
Maruzzella,"Calle de Raimundo Fernández Villaverde, 28, Madrid",28003,4.4,2505.0,"restaurant, food, point_of_interest, establishment",40.4461776,-3.699724099999999,Restauración
VIPS,"Calle de Orense, 16, Madrid",28003,3.9,6709.0,"restaurant, meal_takeaway, food, point_of_interest, establishment",40.4494961,-3.695054099999999,Restauración
Novovisión - Clínica Oftalmológica en Madrid,"Paseo de la Castellana, 54, Madrid",28003,4.7,529.0,"doctor, point_of_interest, health, establishment",40.435877,-3.6886,Comercio / Servicios
BBVA,"Calle de Santa Engracia, 179, Madrid",28003,2.4,95.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.44599209999999,-3.7037241,Comercio / Servicios
Soy,"Calle de Viriato, 58, Madrid",28003,4.8,348.0,"restaurant, food, point_of_interest, establishment",40.4356141,-3.697028099999999,Restauración
Embassy of the United States of America,"Calle de Serrano, 75, Madrid",28003,3.7,748.0,"embassy, point_of_interest, establishment",40.43482159999999,-3.687551099999999,Administración / Localidad
Madrid,Madrid,28004,,,"locality, political",40.41672790000001,-3.7032905,Administración / Localidad
Hotel Infantas by Mij,"Calle de las Infantas, 29, Madrid",28004,4.2,836.0,"lodging, point_of_interest, establishment",40.4201069,-3.6970542,Alojamiento
