nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud
Rolling Hills Mobile Home and RV Park,"35419 Dry Road, Albemarle",28001,4.4,47.0,"campground, park, rv_park, lodging, point_of_interest, establishment",35.313876,-80.2157203
"Dependable Doors, LLC.","Oakhurst Road, Albemarle",28001,5.0,23.0,"point_of_interest, establishment",35.3269621,-80.20081909999999
The Rock Christian Fellowship Church,"26294 Justus Road, Albemarle",28001,5.0,3.0,"church, place_of_worship, point_of_interest, establishment",35.3274695,-80.2005727
Mac's Restaurant Equipment Services,"35418 Dry Road, Albemarle",28001,2.5,2.0,"point_of_interest, store, establishment",35.3126018,-80.215786
Windsor Hills,Albemarle,28001,,,"neighborhood, political",35.3306986,-80.2053363
Just x You,"307 Fairchild Way, Albemarle",28001,,,"point_of_interest, store, establishment",35.33231299999999,-80.205353
Bethesda Cemetery,Albemarle,28001,,,"cemetery, point_of_interest, establishment",35.3212188,-80.19421919999999
Trinity Roofing-Home Imprvmts,"23888 Edgefield Road, Albemarle",28001,1.0,1.0,"roofing_contractor, point_of_interest, establishment",35.3086014,-80.2148208
True Homes Morgan Hills,"1023 Freeman View Drive, Albemarle",28001,4.5,10.0,"general_contractor, point_of_interest, establishment",35.334517,-80.20529719999999
New Hope Church,"36689 Truss Lane, Albemarle",28001,5.0,1.0,"church, place_of_worship, point_of_interest, establishment",35.3327183,-80.200125
Albemarle First Assembly,"1501 North Carolina 24, Albemarle",28001,5.0,50.0,"church, place_of_worship, point_of_interest, establishment",35.33372399999999,-80.2219155
Highway Division Bridge Maintenance,"915 Coble Avenue, Albemarle",28001,,,"general_contractor, local_government_office, point_of_interest, establishment",35.3369044,-80.2141273
Mabry’s Handyman Service,"611 Reeves Avenue, Albemarle",28001,5.0,1.0,"general_contractor, point_of_interest, establishment",35.3359373,-80.2044615
D & M Packing Co,"687 Morgan Road, Albemarle",28001,4.6,34.0,"food, point_of_interest, establishment",35.33674009999999,-80.21051279999999
Creekridge Apartments,"100 Creekridge Circle Apt 1-B, Albemarle",28001,2.2,5.0,"point_of_interest, establishment",35.3355449,-80.21783889999999
Xtreme Team Stables,"Aquadale Road, Albemarle",28001,,,"travel_agency, point_of_interest, establishment",35.3352117,-80.2008981
In person sessions are located at,"1501 North Carolina 24, Albemarle",28001,,,"health, point_of_interest, establishment",35.3344299,-80.2224763
Crisco's Automotive,"409 Commerce Street, Albemarle",28001,4.2,5.0,"car_repair, point_of_interest, establishment",35.33764499999999,-80.2159673
South Side vfd,"20790 North Carolina 138, Albemarle",28001,3.0,2.0,"fire_station, point_of_interest, establishment",35.309368,-80.195398
International Holiness and Pentecostal Alliance,"406 Commerce Street, Albemarle",28001,,,"point_of_interest, establishment",35.3373614,-80.2163475
Hatley's Mini Storage,"1506 North Carolina 24, Albemarle",28001,4.4,14.0,"storage, point_of_interest, establishment",35.33529740000001,-80.22266909999999
Stanly County Habitat For Humanity,"1506 North Carolina 24, Albemarle",28001,3.8,179.0,"point_of_interest, establishment",35.3349152,-80.2235202
"Golden Key Real Estate & Interior Design, LLC","407B Commerce Street, Albemarle",28001,,,"real_estate_agency, point_of_interest, establishment",35.3378876,-80.2161623
"Primary Health Choice & A Primary Choice, Inc.","407B Commerce Street, Albemarle",28001,,,"health, point_of_interest, establishment",35.3378876,-80.2161623
Vine Life Church,"24655 Saint Martin Road, Albemarle",28001,4.3,4.0,"church, place_of_worship, point_of_interest, establishment",35.330359,-80.22799169999999
"Martin""s clean air encapsulation systems","34004b Mabry Road, Albemarle",28001,5.0,7.0,"point_of_interest, establishment",35.3084652,-80.2240492
Carolina Treetop Challenge,"114 Rock Creek Park Drive, Albemarle",28001,4.9,145.0,"point_of_interest, establishment",35.3306341,-80.1917842
Phase One Barber Shop,"405 Commerce Street, Albemarle",28001,4.6,51.0,"hair_care, health, point_of_interest, establishment",35.3382274,-80.21645889999999
Equipment Shop,"902 Coble Avenue, Albemarle",28001,,,"local_government_office, point_of_interest, establishment",35.338696,-80.2142953
NC Farm Bureau Insurance,"1211 North Carolina 24 W, Albemarle",28001,4.5,77.0,"insurance_agency, point_of_interest, establishment",35.33861649999999,-80.2158022
Madrid,Madrid,28002,,,"locality, political",40.41672790000001,-3.7032905
Sercotel Togumar,"Calle de Canillas, 59, Madrid",28002,4.2,1552.0,"lodging, point_of_interest, establishment",40.4438931,-3.6727188
Hotel ILUNION Suites Madrid,"Calle de López de Hoyos, 143, Madrid",28002,4.3,3293.0,"lodging, point_of_interest, establishment",40.4478205,-3.6690155
Abba Madrid Hotel,"Avenida de América, 32, Madrid",28002,4.4,2613.0,"lodging, point_of_interest, establishment",40.438834,-3.672723
AC Hotel Avenida de America,"Calle de Cartagena, 83-85, Madrid",28002,4.3,1894.0,"lodging, point_of_interest, establishment",40.4380379,-3.6726858
Hotel uVe Marcenado,"Calle de Marcenado, 9, Madrid",28002,4.6,576.0,"lodging, point_of_interest, establishment",40.445646,-3.6729009
STYLISH CITY APARTMENTS MADRID,"37, Calle de Luis Cabrera, 5A, Madrid",28002,2.8,176.0,"lodging, point_of_interest, establishment",40.443226,-3.6745053
Hotel Puerta America Madrid,"Avenida de América, 41, Madrid",28002,4.3,6191.0,"lodging, restaurant, food, point_of_interest, establishment",40.4406864,-3.6701104
Restaurante Rías Bajas,"Calle Alustante, 11, Calle de Clara del Rey, 33, Posterior, Madrid",28002,4.5,2469.0,"restaurant, food, point_of_interest, establishment",40.4425801,-3.6711912
Quirónsalud San José Hospital,"Calle de Cartagena, 111, Madrid",28002,3.0,1749.0,"hospital, health, point_of_interest, establishment",40.4403502,-3.6743248
Restaurante - Cervecería Fass Concha Espina,"Calle de Rodríguez Marín, 84, Madrid",28002,4.0,2527.0,"restaurant, food, point_of_interest, establishment",40.45146539999999,-3.678578
Tiffany's The Club,"Avenida del Doctor Arce, 10, Madrid",28002,3.0,1781.0,"night_club, point_of_interest, establishment",40.4455806,-3.6833062
Órale Un Pedacito,"Calle de Pradillo, 30, Madrid",28002,4.5,2786.0,"bar, restaurant, food, point_of_interest, establishment",40.4487482,-3.672656000000001
Enforex Camps,"Calle de Gustavo Fernández Balbuena, 11, 2º planta, Madrid",28002,4.5,202.0,"point_of_interest, establishment",40.4496534,-3.6678951
Taste of America,"Calle de Serrano, 149, Madrid",28002,4.0,230.0,"convenience_store, supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment",40.446557,-3.684855100000001
BBVA,"Calle del Príncipe de Vergara, 203, Madrid",28002,1.7,23.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.4491957,-3.6781503
A&H Suites Internacional Madrid,"Calle de Luis Cabrera, 37, Madrid",28002,2.9,11.0,"lodging, point_of_interest, establishment",40.4431619,-3.6744491
Holiday Gym,"Calle de López de Hoyos, 71, Madrid",28002,3.3,413.0,"gym, health, point_of_interest, establishment",40.4433506,-3.6756132
Santuario de Santa Gema,"Calle de Leizarán, 24, Madrid",28002,4.7,2893.0,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",40.4477912,-3.6815307
Chamartín,Chamartín,28002,,,"sublocality_level_1, sublocality, political",40.4615174,-3.6865844
Magnetron,"Calle del Cardenal Silíceo, 22, Madrid",28002,4.5,84.0,"home_goods_store, electronics_store, store, point_of_interest, establishment",40.44429909999999,-3.6704733
Mutualidad,"Calle de Francisco Silvela, 106, Madrid",28002,2.9,513.0,"insurance_agency, point_of_interest, establishment",40.4389851,-3.6785267
Uría Menéndez,"Calle del Príncipe de Vergara, 187, Madrid",28002,4.3,148.0,"lawyer, point_of_interest, establishment",40.4474059,-3.6783268
Clínica Gorja,"Calle de Pradillo, 13, Madrid",28002,4.5,8.0,"dentist, health, point_of_interest, establishment",40.448725,-3.6749302
Acalaca Selección,"Calle de Luis de Salazar, 6, Madrid",28002,4.1,122.0,"point_of_interest, establishment",40.4472475,-3.6670302
RESTAURANTE LOBBO,"Calle Gabriel Lobo, 11, Madrid",28002,4.1,1513.0,"restaurant, point_of_interest, food, establishment",40.44301550000001,-3.680793300000001
BBVA,"Calle de López de Hoyos, 138, Madrid",28002,2.6,127.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.44489629999999,-3.6725838
Gyata - Concesionario KM 0 multimarca y Servicio Premium Ford,"Calle de Sánchez Pacheco, 48, Madrid",28002,4.4,680.0,"car_dealer, store, point_of_interest, establishment",40.447113,-3.674107
Nautalia viajes,"Calle de López de Hoyos, 92, Madrid",28002,4.1,27.0,"travel_agency, lodging, point_of_interest, establishment",40.44286959999999,-3.675622699999999
Chindasvinto,"Calle de Clara del Rey, 59, Madrid",28002,4.4,338.0,"clothing_store, store, point_of_interest, establishment",40.44548760000001,-3.6683917
[P] Parking Clara del Rey,"Calle de Clara del Rey, 32, 34, Madrid",28002,4.2,177.0,"parking, point_of_interest, establishment",40.4433569,-3.668608900000001
Delta Dent Dental Clinic Madrid,"Avenida de Ramón y Cajal, 5, Madrid",28002,4.7,110.0,"health, point_of_interest, establishment",40.4519149,-3.6769502
PCBox,"Calle de Cartagena, 115, Madrid",28002,4.3,344.0,"electronics_store, store, point_of_interest, establishment",40.4410035,-3.6748368
BBVA,"Calle del Príncipe de Vergara, 267, Madrid",28002,2.8,86.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.4545003,-3.6774842
Lidl,"Calle de Suero de Quiñones, 1, Madrid",28002,4.0,2088.0,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment",40.444099,-3.675233999999999
Encuestas Remuneradas,"Calle de San Julio, 5, Madrid",28002,1.0,1.0,"point_of_interest, establishment",40.44202899999999,-3.6805974
ICEA - Investigación Cooperativa entre Entidades Aseguradoras y Fondos de Pensiones,"Calle de López de Hoyos, 35, 5 planta, Madrid",28002,4.1,54.0,"insurance_agency, point_of_interest, establishment",40.441173,-3.6797154
Cash Converters,"Calle del Corazón de María, 70, Madrid",28002,3.5,487.0,"jewelry_store, electronics_store, finance, store, point_of_interest, establishment",40.4466891,-3.6661662
CIS University,"Calle Velázquez, 140, Madrid",28002,4.7,50.0,"university, point_of_interest, establishment",40.4407975,-3.6824028
Los Gemelos,"Calle de López de Hoyos, 123, Madrid",28002,4.2,302.0,"point_of_interest, establishment",40.44625449999999,-3.6710913
Restaurante Casa Benigna,"Calle de Benigno Soto, 9, Madrid",28002,4.7,2076.0,"restaurant, point_of_interest, food, establishment",40.44811299999999,-3.6742458
Parish of Our Lady of Guadalupe,"Calle de Puerto Rico, 1, Madrid",28002,4.6,475.0,"church, place_of_worship, point_of_interest, establishment",40.4521342,-3.6750505
"Micro Aire, S.L.","Calle de Víctor de la Serna, 5, Madrid",28002,4.4,438.0,"point_of_interest, establishment",40.45267769999999,-3.6734304
Centro Medico-Quirurgico de Enfermedades Digestivas,"Calle de Oquendo, 23, Madrid",28002,3.0,277.0,"doctor, health, point_of_interest, establishment",40.440675,-3.681910700000001
Aránzazu,"Calle de Francisco Silvela, 96, Madrid",28002,4.2,1417.0,"bar, restaurant, point_of_interest, food, establishment",40.4386111,-3.6783333
Clínica Lladó,"Calle del Príncipe de Vergara, 128, Escalera izquierda, Entreplanta, Puerta Derecha, Madrid",28002,4.8,364.0,"doctor, spa, hair_care, beauty_salon, health, point_of_interest, establishment",40.4427409,-3.6781111
Auto Maser,"Calle del Cardenal Silíceo, 35, BAJO, Madrid",28002,3.7,135.0,"car_dealer, store, point_of_interest, establishment",40.44269999999999,-3.66922
Los Torreznos BAR,"Calle de López de Hoyos, 149, Madrid",28002,4.2,3995.0,"restaurant, bar, point_of_interest, food, establishment",40.44799109999999,-3.6687392
La Ancha,"Calle del Príncipe de Vergara, 204, Madrid",28002,4.5,2464.0,"restaurant, point_of_interest, food, establishment",40.4493583,-3.6774667
Avenida de América Transport Hub,"Avenida de América, 9, Madrid",28002,4.0,9456.0,"shopping_mall, point_of_interest, establishment",40.43837,-3.6760107
Francisco Ibáñez Public Library,"Calle de Mantuano, 51, Primera Planta, Madrid",28002,3.8,145.0,"library, point_of_interest, establishment",40.4483731,-3.676461800000001
SIL,"Calle de Clara del Rey, 25, Madrid",28002,4.1,132.0,"electronics_store, store, point_of_interest, establishment",40.4414135,-3.672046800000001
Body Factory by VivaGym Santa Rita (Clara del Rey),"Calle de Santa Rita, 10, Madrid",28002,4.3,147.0,"gym, health, point_of_interest, establishment",40.445217,-3.6677462
Solo de Uva,"Calle del Príncipe de Vergara, 210, Madrid",28002,4.2,18.0,"liquor_store, bar, store, restaurant, point_of_interest, food, establishment",40.4518609,-3.676916199999999
LIBRERIA EL BUSCÓN,"Calle del Cardenal Silíceo, 8, Madrid",28002,4.7,271.0,"book_store, store, point_of_interest, establishment",40.44525129999999,-3.6714898
Creyconfe Uniformes laborales en Madrid,"Calle de Serrano, 205, Madrid",28002,4.4,33.0,"clothing_store, store, point_of_interest, establishment",40.45327759999999,-3.6802134
Be-Up,"Calle de Gustavo Fernández Balbuena, 11, Loft 2A, Madrid",28002,5.0,2.0,"point_of_interest, establishment",40.4497084,-3.667915
Foster's Hollywood,"Calle de López de Hoyos, 161, 163, Madrid",28002,3.3,194.0,"restaurant, point_of_interest, food, establishment",40.4489781,-3.6668782
Cambridge House,"Calle de López de Hoyos, 95, Madrid",28002,4.9,128.0,"point_of_interest, establishment",40.4451306,-3.6728543
AEG ZANUSSI ELECTROLUX Repuestos y Reparaciones,"Calle Cardenal Siliceo, 7 PROSPERIDAD, CHAMARTIN MADRID PARQUE AVENIDAS BARRIO SALAMANCA GUINDALERA, Calle del Cardenal Silíceo, 7, Madrid",28002,4.2,124.0,"point_of_interest, establishment",40.4451214,-3.6711926
Madrid,Madrid,28003,,,"locality, political",40.41672790000001,-3.7032905
Hotel NH Madrid Zurbano,"Calle de Zurbano, 79-81, Madrid",28003,4.2,2898.0,"lodging, point_of_interest, establishment",40.439051,-3.692878
InterContinental Madrid by IHG,"Paseo de la Castellana, 49, Madrid",28003,4.6,4262.0,"lodging, point_of_interest, establishment",40.43632769999999,-3.6902269
Hyatt Regency Hesperia Madrid,"Paseo de la Castellana, 57, Madrid",28003,4.5,1728.0,"lodging, point_of_interest, establishment",40.4388581,-3.6915108
Miyama,"Paseo de la Castellana, 45, Madrid",28003,4.6,1203.0,"restaurant, food, point_of_interest, establishment",40.435713,-3.689798799999998
NYX Madrid,"Calle del Aviador Zorita, 34, Madrid",28003,4.2,3318.0,"lodging, point_of_interest, establishment",40.45044779999999,-3.6979453
Hotel NH Collection Madrid Abascal,"Calle de José Abascal, 47, Madrid",28003,4.6,2545.0,"lodging, point_of_interest, establishment",40.438314,-3.695182
Hotel NH Madrid Chamberí,"Calle de Bretón de los Herreros, 29, Madrid",28003,4.3,814.0,"lodging, point_of_interest, establishment",40.439586,-3.69827
Sagaretxe,"Calle de Eloy Gonzalo, 26, Madrid",28003,4.0,3839.0,"bar, restaurant, food, point_of_interest, establishment",40.434241,-3.701002
Restaurante italiano Nonsolocaffé,"Calle de Ríos Rosas, 52, Madrid",28003,4.3,1706.0,"bar, restaurant, food, point_of_interest, establishment",40.44157149999999,-3.6958103
Las Mañanitas,"Calle de Bravo Murillo, 54, Madrid",28003,4.3,1852.0,"restaurant, food, point_of_interest, establishment",40.442998,-3.7037667
Hotel Miguel Angel,"Calle de Miguel Ángel, 31, Madrid",28003,4.1,2004.0,"lodging, point_of_interest, establishment",40.4376228,-3.6914117
Hotel Suites Barrio De Salamanca,"Calle del General Oráa, 17, Madrid",28003,4.4,386.0,"lodging, point_of_interest, establishment",40.4363629,-3.6857229
Meliá Madrid Serrano,"Calle de Claudio Coello, 139, Madrid",28003,4.4,2743.0,"lodging, point_of_interest, establishment",40.435977,-3.685441
Taste Me - Restaurante Chamberí con terraza - Carne a la brasa,"Calle de Santa Engracia, 53, Madrid",28003,4.2,989.0,"bar, restaurant, food, point_of_interest, establishment",40.43337409999999,-3.6983286
Barceló Emperatriz,"Calle de López de Hoyos, 4, Madrid",28003,4.6,1193.0,"lodging, point_of_interest, establishment",40.43636859999999,-3.688504699999999
El Pedrusco de Aldealcorvo,"Calle de Juan de Austria, 27, Madrid",28003,4.6,791.0,"restaurant, food, point_of_interest, establishment",40.4339751,-3.700078
El Corte Inglés,"Calle de Raimundo Fernández Villaverde, 65, Madrid",28003,4.3,39689.0,"shopping_mall, point_of_interest, establishment",40.4466622,-3.694285799999999
Ministry of Employment and Social Security,"Paseo de la Castellana, 63, Madrid",28003,3.0,43.0,"local_government_office, point_of_interest, establishment",40.4428141,-3.694543000000001
Chamartín,Chamartín,28003,,,"sublocality_level_1, sublocality, political",40.4615174,-3.6865844
Gimnasio Metropolitan,"Calle de José Abascal, 46, Madrid",28003,4.2,653.0,"gym, beauty_salon, health, point_of_interest, establishment",40.4380081,-3.693802
Barullo Company,"Calle de Santa Engracia, 131, Madrid",28003,4.0,547.0,"clothing_store, home_goods_store, point_of_interest, store, establishment",40.4422355,-3.7021677
Hospital Universitario Vithas Madrid La Milagrosa,"Calle de Modesto Lafuente, 14, Madrid",28003,3.9,2264.0,"hospital, doctor, health, point_of_interest, establishment",40.4370011,-3.6956373
Las Tortillas de Gabino,"Calle de Rafael Calvo, 20, Madrid",28003,4.5,2465.0,"restaurant, food, point_of_interest, establishment",40.4338707,-3.6938244
Bar Tula,"Calle de Fernández de la Hoz, 53, Madrid",28003,4.1,515.0,"bar, point_of_interest, establishment",40.43881,-3.6945983
Guetaria Asador 2.zero,"Calle del Aviador Zorita, 8, Madrid",28003,4.4,1782.0,"restaurant, food, point_of_interest, establishment",40.4475364,-3.6983613
El Quinto Vino,"Calle de Hernani, 48, Madrid",28003,4.1,1408.0,"restaurant, bar, liquor_store, food, point_of_interest, store, establishment",40.44805699999999,-3.699002
Instalaciones Deportivas Canal de Isabel II,"Avenida de Filipinas, 54, Madrid",28003,3.9,2027.0,"park, point_of_interest, establishment",40.441189,-3.705117
Restaurante Ferreiro,"Calle del Aviador Zorita, 32, Madrid",28003,4.3,1280.0,"restaurant, food, point_of_interest, establishment",40.4502106,-3.698173299999999
Ecocentro,"Calle Esquilache, 4, Madrid",28003,4.2,2367.0,"restaurant, food, point_of_interest, establishment",40.442964,-3.7048922
IES Ramiro de Maeztu,"Calle de Serrano, 127, Madrid",28003,,,"secondary_school, school, point_of_interest, establishment",40.4428675,-3.6878113
Fortuny Home Club,"Calle de Fortuny, 34, Madrid",28003,3.9,4759.0,"restaurant, food, point_of_interest, establishment",40.43445529999999,-3.689987899999999
Teatros del Canal,"Calle de Cea Bermúdez, 1, Madrid",28003,4.5,7261.0,"point_of_interest, establishment",40.43827900000001,-3.7051836
Museo Nacional de Ciencias Naturales,"Calle de José Gutiérrez Abascal, 2, Madrid",28003,4.5,12873.0,"museum, point_of_interest, establishment",40.44123810000001,-3.6901921
Government Delegation in Madrid,"Calle de Miguel Ángel, 25, Madrid",28003,2.6,181.0,"local_government_office, point_of_interest, establishment",40.4368191,-3.6915518
Fundación Residencia de Estudiantes,"Calle del Pinar, 21-23, Madrid",28003,4.5,1276.0,"point_of_interest, establishment",40.44067619999999,-3.687949699999999
Madrid Musical Malaga8,"Calle de Málaga, 8, Madrid",28003,4.6,1696.0,"point_of_interest, store, establishment",40.4386949,-3.6933406
GINECO DIAGNOSTIC,"Calle de José Abascal, 36, Bajo, Madrid",28003,3.2,204.0,"health, point_of_interest, establishment",40.4381041,-3.695546700000001
BBVA,"Calle de Bravo Murillo, 18, Madrid",28003,2.7,66.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.435623,-3.7040121
Cambridge University Press,"1º, Calle de José Abascal, 56, Madrid",28003,2.9,14.0,"point_of_interest, establishment",40.43778810000001,-3.6921908
Public Library José Luis Sampedro,"Calle Felipe el Hermoso, 4, Madrid",28003,3.9,378.0,"library, point_of_interest, establishment",40.4354075,-3.6996299
Consorcio Regional de Transportes de Madrid,"Plaza del Descubridor Diego de Ordás, 3, Madrid",28003,3.8,1230.0,"point_of_interest, establishment",40.44083989999999,-3.6999694
Zalacaín Restaurant,"Calle de Álvarez de Baena, 4, Madrid",28003,4.6,956.0,"restaurant, food, point_of_interest, establishment",40.4384851,-3.6887062
Comisaría de Policía Nacional Distrito de Chamberí,"Calle de Rafael Calvo, 33, Madrid",28003,,,"police, point_of_interest, establishment",40.43413299999999,-3.6918219
Hola Caracola,"Calle de Fernández de la Hoz, 40, Madrid",28003,4.7,436.0,"store, point_of_interest, establishment",40.43479139999999,-3.6946581
Suéltate El Pelo,"Calle de María de Guzmán, 5, Madrid",28003,4.2,1754.0,"bar, point_of_interest, establishment",40.4444152,-3.7032003
Bosco,"Calle de Fernández de la Hoz, 78, Madrid",28003,4.6,617.0,"restaurant, bar, food, point_of_interest, establishment",40.4401595,-3.694274199999999
Makinostra Harley Davidson Madrid,"Calle del General Álvarez de Castro, 26, Madrid",28003,4.3,578.0,"store, point_of_interest, establishment",40.436302,-3.702243299999999
CAS Training,"Calle de la Basílica, 19, Planta 5, Madrid",28003,4.3,179.0,"point_of_interest, establishment",40.4490603,-3.6965976
.,"Calle de Espronceda, 33, Madrid",28003,1.7,3.0,"hospital, doctor, point_of_interest, health, establishment",40.4405868,-3.694902099999999
La Gran Tasca,"Calle de Santa Engracia, 161, Madrid",28003,4.4,1620.0,"restaurant, food, point_of_interest, establishment",40.4447699,-3.7032291
Rafael del Pino Foundation,"Calle de Rafael Calvo, 39, Madrid",28003,4.6,212.0,"point_of_interest, establishment",40.4343151,-3.689215099999999
Cervecería José Luis (Serrano),"Calle de Serrano, 89, Madrid",28003,4.2,1072.0,"bar, restaurant, food, point_of_interest, establishment",40.4369999,-3.6865438
Taberna Gaztelupe,"Calle del Aviador Zorita, 32, Madrid",28003,4.4,1699.0,"restaurant, food, point_of_interest, establishment",40.4501454,-3.6981721
Maruzzella,"Calle de Raimundo Fernández Villaverde, 28, Madrid",28003,4.4,2505.0,"restaurant, food, point_of_interest, establishment",40.4461776,-3.699724099999999
VIPS,"Calle de Orense, 16, Madrid",28003,3.9,6709.0,"restaurant, meal_takeaway, food, point_of_interest, establishment",40.4494961,-3.695054099999999
Novovisión - Clínica Oftalmológica en Madrid,"Paseo de la Castellana, 54, Madrid",28003,4.7,529.0,"doctor, point_of_interest, health, establishment",40.435877,-3.6886
BBVA,"Calle de Santa Engracia, 179, Madrid",28003,2.4,95.0,"bank, atm, accounting, finance, point_of_interest, establishment",40.44599209999999,-3.7037241
Soy,"Calle de Viriato, 58, Madrid",28003,4.8,348.0,"restaurant, food, point_of_interest, establishment",40.4356141,-3.697028099999999
Embassy of the United States of America,"Calle de Serrano, 75, Madrid",28003,3.7,748.0,"embassy, point_of_interest, establishment",40.43482159999999,-3.687551099999999
Madrid,Madrid,28004,,,"locality, political",40.41672790000001,-3.7032905
Hotel Infantas by Mij,"Calle de las Infantas, 29, Madrid",28004,4.2,836.0,"lodging, point_of_interest, establishment",40.4201069,-3.6970542
Petit Palace Triball,"Calle Gonzalo Jiménez de Quesada, 2, Madrid",28004,4.5,1730.0,"lodging, point_of_interest, establishment",40.42056549999999,-3.7029078
INNSiDE by Meliá Madrid Gran Vía,"Calle de Mesonero Romanos, 13, Madrid",28004,4.3,1814.0,"lodging, point_of_interest, establishment",40.420612,-3.703958
Hotel Regina Madrid,"Calle Alcalá, 19, Madrid",28004,4.5,2723.0,"lodging, point_of_interest, establishment",40.4179133,-3.699877499999999
Vincci Capitol Hotel,"Gran Vía, 41, Madrid",28004,4.4,2637.0,"lodging, point_of_interest, establishment",40.420444,-3.706584
Hotel Quatro Puerta Del Sol,"Calle de Sevilla, 4, Madrid",28004,4.0,1126.0,"lodging, point_of_interest, establishment",40.41706469999999,-3.6999545
Hotel Europa,"Calle del Carmen, 4, Madrid",28004,4.4,2067.0,"lodging, point_of_interest, establishment",40.4175032,-3.7033915
Hotel NH Collection Madrid Colón,"Calle del Marqués de Zurgena, 4, Madrid",28004,4.6,1496.0,"lodging, point_of_interest, establishment",40.42607599999999,-3.689069999999999
Hotel Urban,"Carrera de San Jerónimo, 34, Madrid",28004,4.5,1920.0,"lodging, point_of_interest, establishment",40.4164449,-3.6986026
Hotel Victoria 4,"Calle de la Victoria, 4, Madrid",28004,4.1,1106.0,"lodging, point_of_interest, establishment",40.416379,-3.701742399999999
Eurostars Madrid Gran Vía,"Calle de Leganitos, 13, Madrid",28004,4.1,1382.0,"lodging, point_of_interest, establishment",40.4212153,-3.7099122
Hostal Puerta del Sol,"Puerta del Sol, 14, Madrid",28004,4.0,276.0,"lodging, point_of_interest, establishment",40.4171537,-3.7025296
Hotel Atlántico,"Gran Vía, 38, Madrid",28004,4.7,1337.0,"lodging, point_of_interest, establishment",40.42040529999999,-3.7045863
Hotel Santo Domingo,"Calle de San Bernardo, 1, Madrid",28004,3.9,5770.0,"lodging, point_of_interest, establishment",40.4206587,-3.7085482
Room Mate Oscar Hotel,"Plaza de Pedro Zerolo, 12, Madrid",28004,4.5,3320.0,"lodging, point_of_interest, establishment",40.4206371,-3.6990059
Petit Palace Tres Cruces,"Calle de las Tres Cruces, 6, Madrid",28004,4.4,1386.0,"lodging, point_of_interest, establishment",40.41933119999999,-3.7027806
Petit Palace Chueca,"Calle de Hortaleza, 3, Madrid",28004,4.4,1470.0,"cafe, lodging, restaurant, food, store, point_of_interest, establishment",40.420354,-3.7011024
Hotel Sterling Gran Vía,"Calle de San Bernardo, 29, 31, Madrid",28004,3.9,1417.0,"lodging, point_of_interest, establishment",40.423015,-3.707661
Centro,Centro,28004,,,"sublocality_level_1, sublocality, political",40.4167234,-3.7033851
Hotel Catalonia Gran Vía Madrid,"Gran Vía, 7-9, Madrid",28004,4.3,2761.0,"lodging, point_of_interest, establishment",40.4194421,-3.6988293
